,state,dates
232,AN,2020-11-13
233,AN,2020-11-14
234,AN,2020-11-15
235,AN,2020-11-16
236,AN,2020-11-17
237,AN,2020-11-18
238,AN,2020-11-19
239,AN,2020-11-20
240,AN,2020-11-21
241,AN,2020-11-22
242,AN,2020-11-23
243,AN,2020-11-24
244,AN,2020-11-25
245,AN,2020-11-26
246,AN,2020-11-27
247,AN,2020-11-28
248,AN,2020-11-29
249,AN,2020-11-30
250,AN,2020-12-01
251,AN,2020-12-02
252,AN,2020-12-03
253,AN,2020-12-04
254,AN,2020-12-05
255,AN,2020-12-06
256,AN,2020-12-07
257,AN,2020-12-08
258,AN,2020-12-09
259,AN,2020-12-10
260,AN,2020-12-11
261,AN,2020-12-12
262,AN,2020-12-13
263,AN,2020-12-14
264,AN,2020-12-15
265,AN,2020-12-16
266,AN,2020-12-17
267,AN,2020-12-18
268,AN,2020-12-19
269,AN,2020-12-20
270,AN,2020-12-21
271,AN,2020-12-22
272,AN,2020-12-23
273,AN,2020-12-24
274,AN,2020-12-25
275,AN,2020-12-26
276,AN,2020-12-27
277,AN,2020-12-28
278,AN,2020-12-29
279,AN,2020-12-30
280,AN,2020-12-31
281,AN,2021-01-01
282,AN,2021-01-02
283,AN,2021-01-03
284,AN,2021-01-04
285,AN,2021-01-05
286,AN,2021-01-06
287,AN,2021-01-07
288,AN,2021-01-08
289,AN,2021-01-09
290,AN,2021-01-10
291,AN,2021-01-11
292,AN,2021-01-12
293,AN,2021-01-13
294,AN,2021-01-14
295,AN,2021-01-15
296,AN,2021-01-16
297,AN,2021-01-17
298,AN,2021-01-18
299,AN,2021-01-19
300,AN,2021-01-20
301,AN,2021-01-21
302,AN,2021-01-22
303,AN,2021-01-23
304,AN,2021-01-24
305,AN,2021-01-25
306,AN,2021-01-26
307,AN,2021-01-27
308,AN,2021-01-28
309,AN,2021-01-29
310,AN,2021-01-30
311,AN,2021-01-31
312,AN,2021-02-01
313,AN,2021-02-02
314,AN,2021-02-03
315,AN,2021-02-04
316,AN,2021-02-05
317,AN,2021-02-06
318,AN,2021-02-07
319,AN,2021-02-08
320,AN,2021-02-09
321,AN,2021-02-10
322,AN,2021-02-11
323,AN,2021-02-12
324,AN,2021-02-13
325,AN,2021-02-14
326,AN,2021-02-15
327,AN,2021-02-16
328,AN,2021-02-17
329,AN,2021-02-18
330,AN,2021-02-19
331,AN,2021-02-20
332,AN,2021-02-21
333,AN,2021-02-22
334,AN,2021-02-23
335,AN,2021-02-24
336,AN,2021-02-25
337,AN,2021-02-26
338,AN,2021-02-27
339,AN,2021-02-28
340,AN,2021-03-01
341,AN,2021-03-02
342,AN,2021-03-03
343,AN,2021-03-04
344,AN,2021-03-05
345,AN,2021-03-06
346,AN,2021-03-07
347,AN,2021-03-08
348,AN,2021-03-09
349,AN,2021-03-10
350,AN,2021-03-11
351,AN,2021-03-12
352,AN,2021-03-13
353,AN,2021-03-14
354,AN,2021-03-15
355,AN,2021-03-16
356,AN,2021-03-17
357,AN,2021-03-18
358,AN,2021-03-19
359,AN,2021-03-20
360,AN,2021-03-21
361,AN,2021-03-22
362,AN,2021-03-23
363,AN,2021-03-24
364,AN,2021-03-25
365,AN,2021-03-26
366,AN,2021-03-27
367,AN,2021-03-28
368,AN,2021-03-29
369,AN,2021-03-30
370,AN,2021-03-31
371,AN,2021-04-01
372,AN,2021-04-02
373,AN,2021-04-03
374,AN,2021-04-04
375,AN,2021-04-05
376,AN,2021-04-06
377,AN,2021-04-07
378,AN,2021-04-08
379,AN,2021-04-09
380,AN,2021-04-10
381,AN,2021-04-11
382,AN,2021-04-12
383,AN,2021-04-13
384,AN,2021-04-14
385,AN,2021-04-15
386,AN,2021-04-16
387,AN,2021-04-17
388,AN,2021-04-18
389,AN,2021-04-19
390,AN,2021-04-20
391,AN,2021-04-21
392,AN,2021-04-22
393,AN,2021-04-23
394,AN,2021-04-24
395,AN,2021-04-25
396,AN,2021-04-26
397,AN,2021-04-27
398,AN,2021-04-28
399,AN,2021-04-29
400,AN,2021-04-30
401,AN,2021-05-01
402,AN,2021-05-02
403,AN,2021-05-03
404,AN,2021-05-04
405,AN,2021-05-05
406,AN,2021-05-06
407,AN,2021-05-07
408,AN,2021-05-08
409,AN,2021-05-09
410,AN,2021-05-10
411,AN,2021-05-11
412,AN,2021-05-12
413,AN,2021-05-13
414,AN,2021-05-14
415,AN,2021-05-15
416,AN,2021-05-16
417,AN,2021-05-17
418,AN,2021-05-18
419,AN,2021-05-19
420,AN,2021-05-20
421,AN,2021-05-21
422,AN,2021-05-22
423,AN,2021-05-23
424,AN,2021-05-24
425,AN,2021-05-25
426,AN,2021-05-26
427,AN,2021-05-27
428,AN,2021-05-28
429,AN,2021-05-29
430,AN,2021-05-30
431,AN,2021-05-31
432,AN,2021-06-01
433,AN,2021-06-02
434,AN,2021-06-03
435,AN,2021-06-04
436,AN,2021-06-05
437,AN,2021-06-06
438,AN,2021-06-07
439,AN,2021-06-08
440,AN,2021-06-09
441,AN,2021-06-10
442,AN,2021-06-11
443,AN,2021-06-12
444,AN,2021-06-13
445,AN,2021-06-14
446,AN,2021-06-15
447,AN,2021-06-16
448,AN,2021-06-17
449,AN,2021-06-18
450,AN,2021-06-19
451,AN,2021-06-20
452,AN,2021-06-21
453,AN,2021-06-22
454,AN,2021-06-23
455,AN,2021-06-24
456,AN,2021-06-25
457,AN,2021-06-26
458,AN,2021-06-27
459,AN,2021-06-28
460,AN,2021-06-29
461,AN,2021-06-30
462,AN,2021-07-01
463,AN,2021-07-02
464,AN,2021-07-03
465,AN,2021-07-04
466,AN,2021-07-05
467,AN,2021-07-06
468,AN,2021-07-07
469,AN,2021-07-08
470,AN,2021-07-09
471,AN,2021-07-10
472,AN,2021-07-11
473,AN,2021-07-12
474,AN,2021-07-13
475,AN,2021-07-14
476,AN,2021-07-15
477,AN,2021-07-16
478,AN,2021-07-17
479,AN,2021-07-18
480,AN,2021-07-19
481,AN,2021-07-20
482,AN,2021-07-21
483,AN,2021-07-22
484,AN,2021-07-23
485,AN,2021-07-24
486,AN,2021-07-25
487,AN,2021-07-26
488,AN,2021-07-27
489,AN,2021-07-28
490,AN,2021-07-29
491,AN,2021-07-30
492,AN,2021-07-31
493,AN,2021-08-01
494,AN,2021-08-02
495,AN,2021-08-03
496,AN,2021-08-04
497,AN,2021-08-05
498,AN,2021-08-06
499,AN,2021-08-07
500,AN,2021-08-08
501,AN,2021-08-09
502,AN,2021-08-10
503,AN,2021-08-11
504,AN,2021-08-12
505,AN,2021-08-13
506,AN,2021-08-14
507,AN,2021-08-15
508,AN,2021-08-16
509,AN,2021-08-17
510,AN,2021-08-18
511,AN,2021-08-19
512,AN,2021-08-20
513,AN,2021-08-21
514,AN,2021-08-22
515,AN,2021-08-23
516,AN,2021-08-24
517,AN,2021-08-25
518,AN,2021-08-26
519,AN,2021-08-27
520,AN,2021-08-28
521,AN,2021-08-29
522,AN,2021-08-30
523,AN,2021-08-31
524,AN,2021-09-01
525,AN,2021-09-02
526,AN,2021-09-03
527,AN,2021-09-04
528,AN,2021-09-05
529,AN,2021-09-06
530,AN,2021-09-07
531,AN,2021-09-08
532,AN,2021-09-09
533,AN,2021-09-10
534,AN,2021-09-11
535,AN,2021-09-12
536,AN,2021-09-13
537,AN,2021-09-14
538,AN,2021-09-15
539,AN,2021-09-16
540,AN,2021-09-17
541,AN,2021-09-18
542,AN,2021-09-19
543,AN,2021-09-20
544,AN,2021-09-21
545,AN,2021-09-22
546,AN,2021-09-23
547,AN,2021-09-24
548,AN,2021-09-25
549,AN,2021-09-26
550,AN,2021-09-27
551,AN,2021-09-28
552,AN,2021-09-29
553,AN,2021-09-30
554,AN,2021-10-01
555,AN,2021-10-02
556,AN,2021-10-03
557,AN,2021-10-04
558,AN,2021-10-05
559,AN,2021-10-06
560,AN,2021-10-07
561,AN,2021-10-08
562,AN,2021-10-09
563,AN,2021-10-10
564,AN,2021-10-11
565,AN,2021-10-12
566,AN,2021-10-13
567,AN,2021-10-14
568,AN,2021-10-15
569,AN,2021-10-16
570,AN,2021-10-17
571,AN,2021-10-18
572,AN,2021-10-19
573,AN,2021-10-20
574,AN,2021-10-21
575,AN,2021-10-22
576,AN,2021-10-23
577,AN,2021-10-24
578,AN,2021-10-25
579,AN,2021-10-26
580,AN,2021-10-27
581,AN,2021-10-28
582,AN,2021-10-29
583,AN,2021-10-30
584,AN,2021-10-31
585,AP,2020-03-12
586,AP,2020-03-13
587,AP,2020-03-14
588,AP,2020-03-15
589,AP,2020-03-16
590,AP,2020-03-17
591,AP,2020-03-18
592,AP,2020-03-19
593,AP,2020-03-20
594,AP,2020-03-21
595,AP,2020-03-22
596,AP,2020-03-23
597,AP,2020-03-24
598,AP,2020-03-25
599,AP,2020-03-26
600,AP,2020-03-27
601,AP,2020-03-28
602,AP,2020-03-29
603,AP,2020-03-30
604,AP,2020-03-31
605,AP,2020-04-01
606,AP,2020-04-02
607,AP,2020-04-03
608,AP,2020-04-04
609,AP,2020-04-05
610,AP,2020-04-06
611,AP,2020-04-07
612,AP,2020-04-08
613,AP,2020-04-09
614,AP,2020-04-10
615,AP,2020-04-11
616,AP,2020-04-12
617,AP,2020-04-13
618,AP,2020-04-14
619,AP,2020-04-15
620,AP,2020-04-16
621,AP,2020-04-17
622,AP,2020-04-18
623,AP,2020-04-19
624,AP,2020-04-20
625,AP,2020-04-21
626,AP,2020-04-22
627,AP,2020-04-23
628,AP,2020-04-24
629,AP,2020-04-25
630,AP,2020-04-26
631,AP,2020-04-27
632,AP,2020-04-28
633,AP,2020-04-29
634,AP,2020-04-30
635,AP,2020-05-01
636,AP,2020-05-02
637,AP,2020-05-03
638,AP,2020-05-04
639,AP,2020-05-05
640,AP,2020-05-06
641,AP,2020-05-07
642,AP,2020-05-08
643,AP,2020-05-09
644,AP,2020-05-10
645,AP,2020-05-11
646,AP,2020-05-12
647,AP,2020-05-13
648,AP,2020-05-14
649,AP,2020-05-15
