districts,vaccinated1,vaccinated2,confirmed,deceased,recovered,tested
Vidisha,975291,349024,11922,237,11677,65935
Aizawl,315706,239593,75111,300,71337,0
Champhai,74122,55251,5188,11,4745,0
Hnahthial,0,0,1020,3,857,0
Khawzawl,0,0,733,0,688,0
Kolasib,50525,33101,7721,30,7561,0
Lawngtlai,55877,25870,6740,23,6553,0
Lunglei,95129,73298,9842,27,9053,0
Mamit,43678,28873,4854,12,4448,0
Saiha,34626,19984,5469,14,5304,0
Saitual,0,0,471,2,420,0
Serchhip,41932,36047,4210,10,3646,0
Dimapur,268405,175502,14684,421,13471,47020
Kiphire,13017,8141,258,9,246,1002
Kohima,105758,82602,9461,123,9095,33986
Longleng,20577,15446,307,2,286,1193
Mokokchung,69198,54730,2333,54,2186,3976
Mon,70054,48331,1159,14,1124,12278
Peren,19956,12514,920,6,897,5717
Phek,31241,20746,601,18,568,2779
Tuensang,38130,26725,1094,12,1077,4887
Wokha,35138,23577,402,11,361,1390
Zunheboto,38077,22337,623,15,593,2131
Angul,786278,291800,43920,393,43506,172873
Balangir,960786,299153,23397,126,23257,87867
Balasore,1351099,534318,40787,299,40389,9843
Bargarh,829092,283966,31126,335,30762,0
Bhadrak,1026493,367945,26480,150,26260,258173
Boudh,259325,92297,12634,112,12488,496
Cuttack,1434524,702278,94631,857,93404,5720
Deogarh,223405,63727,6553,50,6460,682
Dhenkanal,738406,282859,19871,243,19598,179477
Gajapati,288963,115535,9657,84,9555,715
Ganjam,2214981,1698328,33849,485,33342,750442
Jagatsinghpur,677675,272499,27920,316,27510,46648
Jajpur,1087735,383313,43735,172,43461,53956
Jharsuguda,399523,189682,23863,176,23673,1663
Kalahandi,921185,304778,24314,210,24082,1458
Kandhamal,384009,150737,11537,83,11453,1516
Kendrapara,916169,347854,24860,252,24545,382732
Kendujhar,1087285,376311,20980,175,20798,474504
Khordha,2063646,1502538,175335,1552,171938,0
Koraput,860773,399063,19137,78,19044,1401
Malkangiri,391790,137925,11667,49,11613,1841
Mayurbhanj,1222153,413698,40844,286,40416,3307
Nabarangapur,675601,188457,23549,86,23461,162154
Nayagarh,593612,222606,23505,212,23261,1104
Nuapada,402248,129685,22924,84,22803,310
Puri,1078666,523160,45431,459,44903,173340
Rayagada,549767,184420,20224,167,19981,578
Sambalpur,768989,418110,31651,240,31315,2007
State Pool,0,0,32048,0,31587,0
Subarnapur,418336,192102,13187,61,13115,0
Sundargarh,1122762,490428,61841,594,61167,0
Amritsar,1263073,446487,47379,1598,45757,89227
Barnala,328464,104197,5950,244,5696,63447
Bathinda,623604,202311,41728,1042,40668,118489
Faridkot,330654,128653,13927,315,13602,23635
Fatehgarh Sahib,354921,135247,8876,335,8538,68436
Fazilka,490080,131519,20271,528,19729,63589
Ferozepur,476343,128043,14347,504,13832,74880
Gurdaspur,862133,415351,22381,801,21576,249039
Hoshiarpur,1000636,574716,30822,986,29828,221261
Jalandhar,1433553,681370,63396,1496,61864,443735
Kapurthala,465285,187476,17852,556,17294,38658
Ludhiana,2473646,943401,87608,2106,85484,514691
Mansa,372366,89830,15606,380,15226,26878
Moga,541556,178908,8675,233,8440,77307
Pathankot,424889,196822,18814,419,18373,29112
Patiala,1051467,396473,48927,1358,47561,273344
Rupnagar,384637,182919,12963,423,12517,97745
S.A.S. Nagar,872096,402212,68821,1068,67726,41532
Sangrur,730511,218820,15762,875,14884,166332
Shahid Bhagat Singh Nagar,392113,172294,11469,388,11080,77715
Sri Muktsar Sahib,473193,142901,18784,524,18257,67979
Tarn Taran,597303,178839,8043,380,7659,111446
Karaikal,111152,57491,16488,250,16150,73142
Mahe,34018,25943,5867,47,5744,42415
Puducherry,558708,305464,98885,1453,97171,425639
Yanam,30079,15489,6773,107,6661,26727
Ajmer,1752308,1042482,37769,410,37352,261215
Alwar,2237787,1029095,59694,307,59387,291879
BSF Camp,0,0,85,0,85,0
Banswara,1024293,525793,10005,104,9901,48781
Baran,763006,297741,11996,61,11934,46168
Barmer,1455732,621465,15563,185,15377,113868
Bharatpur,1351114,590401,19601,260,19341,201441
Bhilwara,1525323,723691,29781,156,29625,148764
Bikaner,1461174,714590,40339,545,39792,278302
Bundi,709316,362835,7967,48,7919,58167
Chittorgarh,978713,482350,19809,139,19670,116002
Churu,1301558,582443,16720,107,16613,131700
Dausa,941513,395584,13351,62,13289,61680
Dholpur,660103,279501,11010,48,10962,121308
Dungarpur,737200,349762,18407,131,18276,121917
Evacuees,0,0,61,0,61,0
Ganganagar,1278952,525137,19354,150,19203,80706
Hanumangarh,1230511,588688,16053,111,15942,82542
Italians,0,0,2,0,2,0
Jaipur,4582410,2189042,187804,1970,185816,968783
Jaisalmer,416014,194163,13639,66,13573,80082
Jalore,987519,393953,10067,72,9995,184172
Jhalawar,922646,363082,13612,187,13425,97163
Jhunjhunu,1449967,787196,14811,158,14653,123433
Jodhpur,2263325,1036743,112412,1103,111308,600959
Karauli,813922,395700,7156,70,7086,64481
Kota,1269245,655588,57053,449,56603,355509
Nagaur,2077555,1016874,17737,177,17560,229822
Other State,0,0,189,39,150,0
Pali,1200554,513058,27324,287,27037,179463
Pratapgarh,655140,345189,7143,63,7080,52208
Rajsamand,691497,299553,17044,169,16875,91975
Sawai Madhopur,756544,347992,10618,61,10557,84683
Sikar,1838263,821713,30618,335,30283,165042
Sirohi,610090,348789,13732,79,13653,84616
Tonk,884688,419023,9498,92,9406,74225
Udaipur,1715072,854773,56405,753,55652,251522
East Sikkim,263526,229361,0,0,0,0
North Sikkim,33137,27820,0,0,0,0
South Sikkim,121481,105432,0,0,0,0
Unknown,0,0,31979,396,31063,0
West Sikkim,103619,88896,0,0,0,0
Adilabad,376263,89337,0,0,0,0
Bhadradri Kothagudem,599183,204318,0,0,0,0
Hyderabad,3150245,1893217,0,0,0,0
Jagtial,580926,190526,0,0,0,0
Jangaon,327527,128207,0,0,0,0
Jayashankar Bhupalapally,262313,127108,0,0,0,0
Jogulamba Gadwal,306919,59886,0,0,0,0
Kamareddy,557684,183176,0,0,0,0
Karimnagar,657167,384862,0,0,0,0
Khammam,856707,333812,0,0,0,0
Komaram Bheem,275644,51593,0,0,0,0
Mahabubabad,468199,172007,0,0,0,0
Mahabubnagar,482547,150640,0,0,0,0
Mancherial,480069,170258,0,0,0,0
Medak,458648,140778,0,0,0,0
Medchal Malkajgiri,2149958,1317832,0,0,0,0
Mulugu,186104,76648,0,0,0,0
Nagarkurnool,464888,106589,0,0,0,0
Nalgonda,891308,254218,0,0,0,0
Narayanpet,288388,50219,0,0,0,0
Nirmal,378315,130107,0,0,0,0
Nizamabad,858574,250862,0,0,0,0
Peddapalli,463510,201940,0,0,0,0
Rajanna Sircilla,372065,144680,0,0,0,0
Ranga Reddy,2348542,1291404,0,0,0,0
Sangareddy,851395,299316,0,0,0,0
Siddipet,582450,242462,0,0,0,0
Suryapet,610724,208278,0,0,0,0
Unknown,0,0,671463,3956,663498,0
Vikarabad,427669,87989,0,0,0,0
Wanaparthy,289412,81870,0,0,0,0
Warangal Rural,342881,105289,0,0,0,0
Warangal Urban,687410,418947,0,0,0,0
Yadadri Bhuvanagiri,463854,223506,0,0,0,0
Airport Quarantine,0,0,2113,2,2107,0
Ariyalur,475390,157166,16854,261,16548,18285
Chengalpattu,1337641,604784,171777,2506,168327,51771
Chennai,4532809,2671294,554672,8546,544701,2667777
Coimbatore,2717202,1205484,246780,2416,243070,102107
Cuddalore,1529591,646400,64085,867,62997,36434
Dharmapuri,770955,279901,28425,274,27957,163803
Dindigul,1236504,493453,33099,645,32348,27800
Erode,1370925,552624,104303,686,102836,66240
Kallakurichi,696213,299822,31364,210,31056,28314
Kancheepuram,663206,250181,74970,1258,73386,37505
Kanyakumari,1100888,450620,62362,1048,61112,79600
Karur,626136,289120,24091,356,23523,17190
Krishnagiri,1040491,407695,43570,348,43036,14284
Madurai,1500331,583138,75215,1172,73853,97279
Mayiladuthurai,0,0,23280,316,22878,0
Nagapattinam,813495,289588,21074,346,20561,20984
Namakkal,987830,397079,52245,498,51253,24758
Nilgiris,501986,343811,33566,212,33164,45839
Perambalur,326872,136491,12067,243,11790,7981
Pudukkottai,827320,314780,30183,416,29627,20835
Railway Quarantine,0,0,428,0,428,0
Ramanathapuram,660673,280037,20564,357,20158,23389
Ranipet,557267,174051,43436,775,42557,20118
Salem,1925084,791376,99893,1685,97619,79660
Sivaganga,726010,287468,20195,206,19854,25824
Tenkasi,736882,233177,27357,484,26834,26338
Thanjavur,1224986,486660,75352,972,73874,67445
Theni,660187,304832,43571,521,43018,45839
Thiruvallur,1425728,563426,119370,1842,117138,67948
Thiruvarur,630274,246969,41461,442,40760,67445
Thoothukkudi,984706,328797,56304,409,55757,49288
Tiruchirappalli,1468456,636356,77534,1059,76038,92586
Tirunelveli,815687,275985,49374,432,48812,54208
Tirupathur,541496,205219,29301,625,28600,23998
Tiruppur,1671392,611015,95405,979,93683,36301
Tiruvannamalai,1270049,533376,54968,667,54122,76170
